zip_code,brand,product_name,price,sale_price,snap_eligible
94110,"RW Garcia","RW GARCIA Organic Sweet Beet Crackers, 5.5 OZ",$5.99,None,True
94110,"365 by Whole Foods Market","365 by Whole Foods Market, Organic Low Sodium Chicken Broth, 32 Fl Oz",$2.99,None,True
94110,"365 by Whole Foods Market","Mini Dark Chocolate Peanut Butter Cups, 4.7 Ounce",$4.99,None,True
94110,"Wilburs Of Maine","Wilburs Of Maine Dark Chocolate Raisins, 8 Oz",0.00,None,False
94110,"Banza","Banza Chocolate Chip Waffles, Frozen Waffles from Chickpeas - High Protein, Gluten Free, Lower Carb Toaster Waffles, 8oz",$6.99,None,True
94110,"365 by Whole Foods Market","Organic Shoyu Soy Sauce Reduced Sodium, 10 Ounce",$2.99,None,True
94110,"365 by Whole Foods Market","Organic Carrots, Shredded, 10 oz",$2.79,None,True
94110,"365 by Whole Foods Market","Organic Light Brown Sugar, 24 Ounce",$4.39,None,True
94110,"North Country Smokehouse","North Country Smokehouse Organic Applewood Smoked Ham, 6 Ounce",$8.29,None,True
94110,"365 by Whole Foods Market","365 by Whole Foods Market Organic Honey Maple Sliced Ham, 6 OZ",$5.49,None,True
94110,"365 by Whole Foods Market","365 By Whole Foods Market, Organic Roasted Garlic Hummus, 8 Ounce",$3.19,None,True
94110,"Garden of Life","Garden of Life Meal Replacement Shakes, Raw Organic, Vanilla Protein Powder with Plant Based Pea Protein, Sprouts, Greens, Probiotics, Dairy Free 28 Servings",0.00,None,False
94110,"LITEHOUSE","Litehouse, Homestyle Ranch Dressing, 13 oz",$4.29,None,True
94110,"365 by Whole Foods Market","Organic Lasagne, 16 Ounce",$1.89,None,True
94110,"365 by Whole Foods Market","365 by Whole Foods Market Nashville Hot Breaded Chicken Fillets, 8 OZ",$7.99,None,True
94110,"Miss Jones Baking","Miss Jones Baking Organic Buttercream Frosting, Perfect for Icing and Decorating, Vegan-Friendly: Vanilla (Pack of 1)",$6.99,None,True
94110,"365 by Whole Foods Market","Organic Light Brown Sugar, 24 Ounce",$4.39,None,True
94110,"Wellshire Farms","Wellshire Farms Applewood Smoked Boneless Uncured Seasoned Sliced Ham, 20 Oz",$12.99,None,True
94110,"365 by Whole Foods Market","365 by Whole Foods Market Organic Honey Maple Sliced Ham, 6 OZ",$5.49,None,True
94110,"Cedar's","Cedar's Organic Garlic Hummus",$5.99,None,True
94110,"Garden of Life","Garden of Life Meal Replacement Shakes, Raw Organic, Vanilla Protein Powder with Plant Based Pea Protein, Sprouts, Greens, Probiotics, Dairy Free 14 Servings",0.00,None,False
94110,"365 by Whole Foods Market","Organic Classic Ranch Dressing, 12 Fl Oz",$4.49,None,True
94110,"365 by Whole Foods Market","Organic Lasagne, 16 Ounce",$1.89,None,True
94110,"365 by Whole Foods Market","365 by Whole Foods Market Nashville Hot Breaded Chicken Fillets, 8 OZ",$7.99,None,True
94110,"Miss Jones Baking","Miss Jones Baking Organic Buttercream Frosting, Perfect for Icing and Decorating, Vegan-Friendly: Vanilla (Pack of 1)",$6.99,None,True
94110,"Whole Foods Market","Turkey Breast Smoked Organic",None,None,False
94110,"R.W. Knudsen","RW KNUDSEN Just Cranberry Juice, 32 FZ",$9.99,None,True
94110,"365 by Whole Foods Market","Raisin Bran Cereal, Vegan, Low-Fat, 15 Ounce",$2.69,None,True
94110,"PERDUE","PERDUE Organic Simply Smart Lightly Breaded Chicken Strips, 16 OZ",$11.99,None,True
94110,"WHOLE FOODS MARKET KITCHENS","Whole Foods Market Kitchens Paleo Friendly Grilled Chicken Breast",0.00,None,False
94110,"Bell & Evans","Bell & Evans Breaded Chicken Breast Tenders, 30 OZ",$14.99,None,True
94110,"WHOLE FOODS MARKET KITCHENS","Whole Foods Market Kitchens Paleo Friendly Grilled Chicken Breast",0.00,None,False
94110,"PERDUE","PERDUE Organic Simply Smart Lightly Breaded Chicken Strips, 16 OZ",$11.99,None,True
94110,"Whole Foods Market","Cookie Brown Butter Chocolate Chunky Mini 18 Count, 12.6 Ounce",0.00,None,False
94110,"Suja","Suja Organic Cold-Pressed Ginger Love, Fruit Juice with No Additives, Excellent Source of Vitamin C for Immunity Support, Vegan, Plant-Based & USDA Certified (12 Fl Oz)",$4.09,None,True
94110,"365 by Whole Foods Market","Two-Bite Vanilla Cupcakes, 10.5 oz, Frozen",$5.99,None,True
94110,"Kite Hill","Kite Hill Mushroom and Almond Milk Ricotta Ravioli, 9 Ounces, Dairy Free",$10.99,None,True
94110,"365 by Whole Foods Market","365 by Whole Foods Market Organic Honey Maple Sliced Ham, 6 OZ",$5.49,None,True
94110,"Bell & Evans","Bell & Evans Breaded Chicken Breast Tenders, 30 OZ",$14.99,None,True
94110,"365 by Whole Foods Market","Organic Carrots, Shredded, 10 oz",$2.79,None,True
94110,"Whole Foods Market","WHOLE FOODS MARKET Classic Brownie 4 Count",$7.99,None,True
94110,"Rubicon Bakery","RUBICON BAKERY Chocolate Delight Cupcakes 4 Count, 10 OZ",$6.99,None,True
94110,"Ben's sugar shack","Bens Sugar Shack Maple Cotton Candy, 1 Oz",$2.49,None,True
94110,"365 by Whole Foods Market","Two-Bite Vanilla Cupcakes, 10.5 oz, Frozen",$5.99,None,True
94110,"Vermont Creamery","Vermont Creamery Honey Chevre 4oz",$6.99,None,True
94110,"Rubicon Bakery","RUBICON BAKERY Chocolate Delight Cupcakes 4 Count, 10 OZ",$6.99,None,True
94110,"365 by Whole Foods Market","365 by Whole Foods Market Organic Sprouted Multigrain & Seed Bread, 22 OZ",$4.79,None,True
94110,"365 by Whole Foods Market","365 by Whole Foods Market Organic Buffalo Wing Sauce Medium, 12.5 Ounce",$4.99,None,True
94110,"Fresh Produce (Brands May Vary)","WHOLESUM HARVEST Organic Cherry Tomatoes on the Vine, 12 OZ",0.00,None,False
94110,"YumEarth","YumEarth Organic Pops Variety Pack, 60 Fruit Flavored Favorites Lollipops, Allergy Friendly, Gluten Free, Non-GMO, Vegan, No Artificial Dyes",$12.99,None,True
94110,"Loacker","Loacker Quadratini Hazelnut Wafer Cookies - 30% Less Sugar - Premium Crispy Bite Size Wafers with Hazelnut Cream Filling - Resealable Family Pack - NON-GMO - 100% Italian Hazelnuts - LARGE Snack Bag 250g/8.82oz",$5.79,None,True
94110,"Kayak Cookies","KAYAK COOKIES Salty Oat Original Cookie 3 Count",$9.29,None,True
94110,"The Fillo Factory","Organic Fillo Dough, 16 Ounce",$8.09,None,True
94110,"365 by Whole Foods Market","Two-Bite Vanilla Cupcakes, 10.5 oz, Frozen",$5.99,None,True
94110,"365 by Whole Foods Market","Organic 100% Whole Wheat Flour, 80 Ounce",$7.19,None,True
94110,"De Cecco","De Cecco Penne Rigate No. 41 Pasta, 16 Oz, Authentic, Slow Dried, Made with Durum Wheat, Versatile Pasta for Sauces & Recipes, Made in Italy",$3.39,None,True
94110,"Rubicon Bakery","RUBICON BAKERY Chocolate Delight Cupcakes 4 Count, 10 OZ",$6.99,None,True
94110,"True Story Foods","True Story Foods Little Goodies, 10 Ounce",$8.99,None,True
94110,"Tony's Chocolonely","Tony’s Chocolonely Assorted Chocolate Candy Pieces, Belgian Milk & Dark Chocolate, Caramel Sea Salt, Almond Sea Salt, Honey Almond Nougat, Pretzel Toffee, Made From Quality Fairtrade Cocoa, 4.44 Oz",$6.29,$5.77,True
94110,"SkinnyPop","SkinnyPop Popcorn, Original, Whole Grain, Dairy-Free Snack, 8oz Family Size Bag",$5.99,None,True
94110,"Whole Foods Market","WHOLE FOODS MARKET Classic Brownie 4 Count",$7.99,None,True
94110,"Whole Foods Market","WHOLE FOODS MARKET Classic Brownie 4 Count",$7.99,None,True
94110,"García DE LA cruz 1872","Garcia De La Cruz Pimiento Stuffed Olives, 14 Oz",$7.99,None,True
94110,"365 by Whole Foods Market","365 by Whole Foods Market, No Salt Albacore Tuna in Water, 5 Ounce",$3.29,None,True
94110,"Lundberg","Lundberg Organic Thin Stackers, Red Rice & Quinoa, Salt-Free, Thin Multigrain Rice Cakes, Gluten-Free, Vegan, Healthy Snacks, 6 oz (Pack of 1)",$5.19,None,True
94110,"Local Hive Honey","Local Hive Mango Habanero Honey Hot Sauce – 6 oz | Sweet & Spicy | Natural Raw Honey with Mango & Habanero Peppers | Perfect for Dipping, Tacos, BBQ, Grilling & Cooking",$5.69,$4.41,True
94110,"365 by Whole Foods Market","Baking Soda, 16 Ounce",$1.09,None,True
